Toll Date,Day of Week,Toll Week,Time Period,Vehicle Class,CRZ Entries,Estimated Rate,Estimated Revenue
2025-01-16,Thursday,2025-01-12,Peak,Motorcycles,1514,4.5,5450.4
2025-01-16,Thursday,2025-01-12,Peak,TLC Taxi/FHV,144432,1.13,130566.53
2025-01-17,Friday,2025-01-12,Overnight,Passenger Cars & Vans,48986,2.25,88174.8
2025-01-17,Friday,2025-01-12,Overnight,Single-Unit Trucks,2561,3.6,7375.68
2025-01-17,Friday,2025-01-12,Overnight,Multi-Unit Trucks,602,5.4,2600.64
2025-01-17,Friday,2025-01-12,Overnight,Buses,821,3.69,2423.59
2025-01-17,Friday,2025-01-12,Overnight,Motorcycles,250,1.05,210.0
2025-01-17,Friday,2025-01-12,Overnight,TLC Taxi/FHV,47638,1.13,43064.75
2025-01-17,Friday,2025-01-12,Peak,Passenger Cars & Vans,238066,9.0,1714075.2
2025-01-17,Friday,2025-01-12,Peak,Single-Unit Trucks,21702,14.4,250007.03
2025-01-17,Friday,2025-01-12,Peak,Multi-Unit Trucks,2037,21.6,35199.36
2025-01-17,Friday,2025-01-12,Peak,Buses,9376,14.76,110711.81
2025-01-17,Friday,2025-01-12,Peak,Motorcycles,1542,4.5,5551.2
2025-01-17,Friday,2025-01-12,Peak,TLC Taxi/FHV,134866,1.13,121918.86
2025-01-18,Saturday,2025-01-12,Overnight,Passenger Cars & Vans,89556,2.25,161200.8
2025-01-18,Saturday,2025-01-12,Overnight,Single-Unit Trucks,4365,3.6,12571.2
2025-01-18,Saturday,2025-01-12,Overnight,Multi-Unit Trucks,667,5.4,2881.44
2025-01-18,Saturday,2025-01-12,Overnight,Buses,1537,3.69,4537.22
2025-01-18,Saturday,2025-01-12,Overnight,Motorcycles,422,1.05,354.48
2025-01-18,Saturday,2025-01-12,Overnight,TLC Taxi/FHV,76629,1.13,69272.62
2025-01-18,Saturday,2025-01-12,Peak,Passenger Cars & Vans,175420,9.0,1263024.0
2025-01-18,Saturday,2025-01-12,Peak,Single-Unit Trucks,5081,14.4,58533.12
2025-01-18,Saturday,2025-01-12,Peak,Multi-Unit Trucks,447,21.6,7724.16
2025-01-18,Saturday,2025-01-12,Peak,Buses,3183,14.76,37584.86
2025-01-18,Saturday,2025-01-12,Peak,Motorcycles,1129,4.5,4064.4
2025-01-18,Saturday,2025-01-12,Peak,TLC Taxi/FHV,106335,1.13,96126.84
2025-01-19,Sunday,2025-01-19,Overnight,Passenger Cars & Vans,65122,2.25,117219.6
2025-01-19,Sunday,2025-01-19,Overnight,Single-Unit Trucks,2152,3.6,6197.76
2025-01-19,Sunday,2025-01-19,Overnight,Multi-Unit Trucks,278,5.4,1200.96
2025-01-19,Sunday,2025-01-19,Overnight,Buses,1191,3.69,3515.83
2025-01-19,Sunday,2025-01-19,Overnight,Motorcycles,289,1.05,242.76
2025-01-19,Sunday,2025-01-19,Overnight,TLC Taxi/FHV,65510,1.13,59221.04
2025-01-19,Sunday,2025-01-19,Peak,Passenger Cars & Vans,126171,9.0,908431.2
2025-01-19,Sunday,2025-01-19,Peak,Single-Unit Trucks,2843,14.4,32751.36
2025-01-19,Sunday,2025-01-19,Peak,Multi-Unit Trucks,219,21.6,3784.32
2025-01-19,Sunday,2025-01-19,Peak,Buses,2289,14.76,27028.51
2025-01-19,Sunday,2025-01-19,Peak,Motorcycles,762,4.5,2743.2
2025-01-19,Sunday,2025-01-19,Peak,TLC Taxi/FHV,85857,1.13,77614.73
2025-01-20,Monday,2025-01-19,Overnight,Passenger Cars & Vans,35436,2.25,63784.8
2025-01-20,Monday,2025-01-19,Overnight,Single-Unit Trucks,1762,3.6,5074.56
2025-01-20,Monday,2025-01-19,Overnight,Multi-Unit Trucks,323,5.4,1395.36
2025-01-20,Monday,2025-01-19,Overnight,Buses,719,3.69,2122.49
2025-01-20,Monday,2025-01-19,Overnight,Motorcycles,199,1.05,167.16
2025-01-20,Monday,2025-01-19,Overnight,TLC Taxi/FHV,32783,1.13,29635.83
2025-01-20,Monday,2025-01-19,Peak,Passenger Cars & Vans,176830,9.0,1273176.0
2025-01-20,Monday,2025-01-19,Peak,Single-Unit Trucks,13141,14.4,151384.32
2025-01-20,Monday,2025-01-19,Peak,Multi-Unit Trucks,1325,21.6,22896.0
2025-01-20,Monday,2025-01-19,Peak,Buses,5289,14.76,62452.51
2025-01-20,Monday,2025-01-19,Peak,Motorcycles,868,4.5,3124.8
2025-01-20,Monday,2025-01-19,Peak,TLC Taxi/FHV,106899,1.13,96636.7
2025-01-21,Tuesday,2025-01-19,Overnight,Passenger Cars & Vans,41500,2.25,74700.0
2025-01-21,Tuesday,2025-01-19,Overnight,Single-Unit Trucks,2522,3.6,7263.36
2025-01-21,Tuesday,2025-01-19,Overnight,Multi-Unit Trucks,476,5.4,2056.32
2025-01-21,Tuesday,2025-01-19,Overnight,Buses,789,3.69,2329.13
2025-01-21,Tuesday,2025-01-19,Overnight,Motorcycles,166,1.05,139.44
2025-01-21,Tuesday,2025-01-19,Overnight,TLC Taxi/FHV,37799,1.13,34170.3
2025-01-21,Tuesday,2025-01-19,Peak,Passenger Cars & Vans,235256,9.0,1693843.2
2025-01-21,Tuesday,2025-01-19,Peak,Single-Unit Trucks,20579,14.4,237070.07
2025-01-21,Tuesday,2025-01-19,Peak,Multi-Unit Trucks,1806,21.6,31207.68
2025-01-21,Tuesday,2025-01-19,Peak,Buses,9541,14.76,112660.13
2025-01-21,Tuesday,2025-01-19,Peak,Motorcycles,924,4.5,3326.4
2025-01-21,Tuesday,2025-01-19,Peak,TLC Taxi/FHV,136153,1.13,123082.31
2025-01-22,Wednesday,2025-01-19,Overnight,Passenger Cars & Vans,41737,2.25,75126.6
2025-01-22,Wednesday,2025-01-19,Overnight,Single-Unit Trucks,2602,3.6,7493.76
2025-01-22,Wednesday,2025-01-19,Overnight,Multi-Unit Trucks,526,5.4,2272.32
2025-01-22,Wednesday,2025-01-19,Overnight,Buses,797,3.69,2352.74
2025-01-22,Wednesday,2025-01-19,Overnight,Motorcycles,172,1.05,144.48
2025-01-22,Wednesday,2025-01-19,Overnight,TLC Taxi/FHV,41293,1.13,37328.87
2025-01-22,Wednesday,2025-01-19,Peak,Passenger Cars & Vans,238851,9.0,1719727.2
2025-01-22,Wednesday,2025-01-19,Peak,Single-Unit Trucks,20579,14.4,237070.07
2025-01-22,Wednesday,2025-01-19,Peak,Multi-Unit Trucks,1718,21.6,29687.04
2025-01-22,Wednesday,2025-01-19,Peak,Buses,9796,14.76,115671.17
2025-01-22,Wednesday,2025-01-19,Peak,Motorcycles,1003,4.5,3610.8
2025-01-22,Wednesday,2025-01-19,Peak,TLC Taxi/FHV,138804,1.13,125478.82
2025-01-23,Thursday,2025-01-19,Overnight,Passenger Cars & Vans,43039,2.25,77470.2
