Date,Mode,Count
01/14/2025,LIRR,252417
01/14/2025,Subway,3901919
01/14/2025,SIR,7600
01/14/2025,MNR,218691
01/14/2025,CRZ Entries,481943
01/14/2025,CBD Entries,547502
01/14/2025,Bus,1395685
01/14/2025,BT,865040
01/14/2025,AAR,39810
01/13/2025,AAR,37067
01/13/2025,Subway,3565093
01/13/2025,SIR,7013
01/13/2025,MNR,202056
01/13/2025,LIRR,232624
01/13/2025,CRZ Entries,460719
01/13/2025,CBD Entries,522656
01/13/2025,Bus,1366764
01/13/2025,BT,846949
01/12/2025,BT,748413
01/12/2025,Subway,1832507
01/12/2025,SIR,1748
01/12/2025,MNR,82736
01/12/2025,LIRR,98780
01/12/2025,CRZ Entries,420139
01/12/2025,CBD Entries,480372
01/12/2025,Bus,667294
01/12/2025,AAR,23573
01/11/2025,AAR,21718
01/11/2025,Subway,2333104
01/11/2025,SIR,2397
01/11/2025,MNR,96491
01/11/2025,LIRR,121021
01/11/2025,CRZ Entries,460462
01/11/2025,CBD Entries,520235
01/11/2025,Bus,814312
01/11/2025,BT,771652
01/10/2025,AAR,38183
01/10/2025,Subway,3561095
01/10/2025,SIR,6232
01/10/2025,MNR,189644
01/10/2025,LIRR,226639
01/10/2025,CRZ Entries,492703
01/10/2025,CBD Entries,556564
01/10/2025,Bus,1326845
01/10/2025,BT,898871
01/09/2025,CRZ Entries,489249
01/09/2025,Subway,3757580
01/09/2025,SIR,6845
01/09/2025,MNR,198894
01/09/2025,Bus,1306116
01/09/2025,BT,869256
01/09/2025,LIRR,229804
01/09/2025,AAR,38431
01/09/2025,CBD Entries,553328
01/08/2025,LIRR,239444
01/08/2025,Subway,3834806
01/08/2025,SIR,7799
01/08/2025,MNR,209550
01/08/2025,CRZ Entries,479387
01/08/2025,CBD Entries,542552
01/08/2025,Bus,1329939
01/08/2025,BT,852748
01/08/2025,AAR,39406
01/07/2025,AAR,38048
01/07/2025,Subway,3784051
01/07/2025,SIR,7410
01/07/2025,MNR,220945
01/07/2025,LIRR,245930
01/07/2025,CRZ Entries,469927
01/07/2025,CBD Entries,529743
01/07/2025,Bus,1315134
01/07/2025,BT,842968
01/06/2025,BT,792617
01/06/2025,Subway,3437198
01/06/2025,SIR,6888
01/06/2025,MNR,202575
01/06/2025,LIRR,229503
01/06/2025,CRZ Entries,437767
01/06/2025,CBD Entries,494984
01/06/2025,Bus,1270655
01/06/2025,AAR,35840
01/05/2025,Bus,626644
01/05/2025,Subway,1791537
01/05/2025,SIR,2039
01/05/2025,MNR,79761
01/05/2025,LIRR,96683
01/05/2025,CRZ Entries,417970
01/05/2025,CBD Entries,474633
01/05/2025,BT,726411
01/05/2025,AAR,23665
01/04/2025,AAR,21999
01/04/2025,Subway,2315791
01/04/2025,SIR,2673
01/04/2025,MNR,100579
01/04/2025,LIRR,117004
01/04/2025,Bus,781198
01/04/2025,BT,788882
01/03/2025,Bus,1234565
01/03/2025,Subway,3413456
01/03/2025,SIR,6243
01/03/2025,MNR,163577
01/03/2025,LIRR,203652
01/03/2025,AAR,35900
01/03/2025,BT,846981
01/02/2025,LIRR,210914
01/02/2025,Subway,3377364
01/02/2025,SIR,6548
01/02/2025,MNR,165475
01/02/2025,Bus,1208636
01/02/2025,BT,831296
01/02/2025,AAR,31265
01/01/2025,AAR,12417
01/01/2025,Subway,1779501
01/01/2025,SIR,2040
01/01/2025,MNR,74690
01/01/2025,LIRR,90318
01/01/2025,Bus,496604
01/01/2025,BT,678296
12/31/2024,BT,818825
12/31/2024,Subway,2874166
12/31/2024,SIR,4926
12/31/2024,MNR,186037
12/31/2024,LIRR,223942
12/31/2024,Bus,985813
12/31/2024,AAR,31482
12/30/2024,SIR,6159
12/30/2024,Subway,3316046
12/30/2024,MNR,209077
12/30/2024,LIRR,248532
12/30/2024,Bus,1111524
12/30/2024,BT,896512
12/30/2024,AAR,31713
12/29/2024,AAR,22149
12/29/2024,Subway,2122120
12/29/2024,SIR,2629
12/29/2024,MNR,107415
12/29/2024,LIRR,127153
12/29/2024,Bus,664694
12/29/2024,BT,810819
12/28/2024,BT,812850
12/28/2024,Subway,2268511
12/28/2024,SIR,2757
12/28/2024,MNR,119418
12/28/2024,LIRR,139519
